Symbol	Short	Long
PABC-JUN	PABC-JUN	PABC-JUN
PABC-MAY	PABC-MAY	PABC-MAY
PACE	Pace (Pak) Ltd.	Pace (Pakistan) Limited
PACE-JUL	PACE-JUL	Pace (Pak) Ltd.
PACE-JUN	PACE-JUN	Pace (Pak) Ltd.
PACE-MAY	PACE-MAY	Pace (Pak) Ltd.
PAEL	Pak Elektron	Pak Elektron Limited
PAEL-JUL	PAEL-JUL	Pak Elektron Ltd.
PAEL-JUN	PAEL-JUN	Pak Elektron Limited
PAEL-MAY	PAEL-MAY	Pak Elektron Limited
PAKD	Pak Datacom	Pak Datacom Limited
PAKMI	Pak Mod.	First Pak Modaraba
PAKOXY	Pak Oxygen Ltd.	Pakistan Oxygen Limited
PAKRI	Pak ReinsuranceXB	Pakistan Reinsurance Company Limited
PASL	Pervez Ahmed Co	Pervez Ahmed Consultancy Services Ltd.
PCAL	Pakistan Cables	Pakistan Cables Limited
PECO	Pak Engineering	Pakistan Engineering Company Limited
PHDL	Pak Hotels	Pakistan Hotels Developers Limited
PIAA	P.I.A.C.(A)	Pakistan International Airlines Corp
PIAA-JUL	PIAA-JUL	Pakistan International Airlines Corp.
PIAA-JUN	PIAA-JUN	Pakistan International Airlines Corp.
PIAA-MAY	PIAA-MAY	Pakistan International Airlines Corp.
PIBTL	Pak Int.Bulk	Pakistan International Bulk Terminal
PIBTL-JUL	PIBTL-JUL	Pakistan International Bulk Terminal Limited
PIBTL-JUN	PIBTL-JUN	Pakistan International Bulk Terminal Limited
PIBTL-MAY	PIBTL-MAY	Pakistan International Bulk Terminal Limited
PICT	Pak.Int.Cont.	Pakistan International Container
PIL	PICIC Ins.Ltd.	PICIC Insurance Limited
PINL	Premier Ins.	Premier Insurance Limited
PIOC	Pioneer Cement	Pioneer Cement Limited
PIOC-JUL	PIOC-JUL	Pioneer Cement Limited
PIOC-JUN	PIOC-JUN	Pioneer Cement Limited
PIOC-MAY	PIOC-MAY	Pioneer Cement Limited
PKGI	Pak Gen.Ins.	The Pakistan General Insurance Co. Ltd.
PKGS	Packages Ltd.	Packages Limited
PMI	Prud Mod.1st	First Prudential Modaraba
PNSC	P.N.S.C	Pakistan National Shipping Corporation
POL	Pak Oilfields	Pakistan Oilfields Limited
POL-JUL	POL-JUL	Pakistan Oilfields Ltd.
POL-JUN	POL-JUN	Pakistan Oilfields Ltd.
POL-MAY	POL-MAY	Pakistan Oilfields Ltd.
POML	Punjab Oil	Punjab Oil Mills Limited
POWER	Power Cement	Power Cement Limited
POWER-JUL	POWER-JUL	Power Cement Limited
POWER-JUN	POWER-JUN	Power Cement Limited
POWER-MAY	POWER-MAY	Power Cement Limited
PPL	Pak Petroleum	Pakistan Petroleum Limited
PPL-JUL	PPL-JUL	Pak Petroleum Ltd.
PPL-JUN	PPL-JUN	Pak Petroleum Ltd.
PPL-MAY	PPL-MAY	Pakistan Petroleum Ltd.
PPP	Pak Paper Prod	Pakistan Paper Products Limited
PREMA	At-Tahur Ltd.	At-Tahur Limited
PRET	Premium Tex.	Premium Textile Mills Limited
PRL	Pak Refinery	Pakistan Refinery Limited
PRL-JUL	PRL-JUL	Pakistan Refinery Limited
PRL-JUN	PRL-JUN	Pakistan Refinery Limited
PRL-MAY	PRL-MAY	Pakistan Refinery Limited
PRWM	Prosperity Weav	Prosperity Weaving Mills Limited
PSMC	Pak Suzuki	Pak Suzuki Motor Company Limited
PSMC-JUL	PSMC-JUL	Pak Suzuki Motor Company Limited
PSMC-JUN	PSMC-JUN	PSMC-JUN
PSMC-MAYB	PSMC-MAYB	PSMC-MAYB
PSO	P.S.O.	Pakistan State Oil Company Limited
PSO-JUL	PSO-JUL	Pakistan State Oil Co. Ltd.
PSO-JUN	PSO-JUN	Pakistan State Oil Co. Ltd.
PSO-MAY	PSO-MAY	Pakistan State Oil Co.
PSX	Pak Stock Exchange	Pakistan Stock Exchange Limited
PTC	P.T.C.L.	Pakistan Telecommunication Company Ltd
PTC-JUL	PTC-JUL	Pakistan Telecommunication Company
PTC-JUN	PTC-JUN	Pakistan Telecommunication
PTC-MAY	PTC-MAY	Pakistan Telecommunication
PTL	Panther Tyres Ltd.	Panther Tyres Ltd.
QUICE	Quice Food	Quice Food Industries Limited
REDCO	Redco Textile	Redco Textiles Limited
REWM	Reliance Weaving	Reliance Weaving Mills Limited
RMPL	Rafhan Maize	Rafhan Maize Products Company Limited
RPL	Roshan Packages	Roshan Packages Limited
RUBY	Ruby Textile	Ruby Textile Mills Limited
